Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,14 years,14,Male,M,2002,2002,2117462
,14 years,14,Male,M,2003,2003,2163637
,14 years,14,Male,M,2004,2004,2261079
,14 years,14,Male,M,2005,2005,2230595
,14 years,14,Male,M,2006,2006,2205891
,14 years,14,Male,M,2007,2007,2185221
,14 years,14,Male,M,2008,2008,2151718
,14 years,14,Male,M,2009,2009,2146254
,14 years,14,Male,M,2010,2010,2122849
,14 years,14,Male,M,2011,2011,2110397
,14 years,14,Male,M,2012,2012,2114080
,14 years,14,Male,M,2013,2013,2120218
,14 years,14,Male,M,2014,2014,2163573
,14 years,14,Male,M,2015,2015,2134547
,14 years,14,Male,M,2016,2016,2088424
,14 years,14,Male,M,2017,2017,2102906
,14 years,14,Male,M,2018,2018,2125611
Total,14 years,14,Male,M,,,42758648
Total,14 years,14,,,,,83549454
,15 years,15,Female,F,1999,1999,1913334
,15 years,15,Female,F,2000,2000,1975945
,15 years,15,Female,F,2001,2001,1987434
,15 years,15,Female,F,2002,2002,1996259
,15 years,15,Female,F,2003,2003,2032351
,15 years,15,Female,F,2004,2004,2076760
,15 years,15,Female,F,2005,2005,2168521
,15 years,15,Female,F,2006,2006,2146323
,15 years,15,Female,F,2007,2007,2127798
,15 years,15,Female,F,2008,2008,2101218
,15 years,15,Female,F,2009,2009,2074716
,15 years,15,Female,F,2010,2010,2060512
,15 years,15,Female,F,2011,2011,2029279
,15 years,15,Female,F,2012,2012,2026800
,15 years,15,Female,F,2013,2013,2027376
,15 years,15,Female,F,2014,2014,2034955
,15 years,15,Female,F,2015,2015,2076055
,15 years,15,Female,F,2016,2016,2056199
,15 years,15,Female,F,2017,2017,2014595
,15 years,15,Female,F,2018,2018,2029592
Total,15 years,15,Female,F,,,40956022
,15 years,15,Male,M,1999,1999,2025818
,15 years,15,Male,M,2000,2000,2088733
,15 years,15,Male,M,2001,2001,2096444
,15 years,15,Male,M,2002,2002,2101617
,15 years,15,Male,M,2003,2003,2140303
,15 years,15,Male,M,2004,2004,2188103
,15 years,15,Male,M,2005,2005,2288448
,15 years,15,Male,M,2006,2006,2260192
,15 years,15,Male,M,2007,2007,2236697
,15 years,15,Male,M,2008,2008,2217764
,15 years,15,Male,M,2009,2009,2185191
,15 years,15,Male,M,2010,2010,2170359
,15 years,15,Male,M,2011,2011,2129082
,15 years,15,Male,M,2012,2012,2116501
,15 years,15,Male,M,2013,2013,2120657
,15 years,15,Male,M,2014,2014,2128124
,15 years,15,Male,M,2015,2015,2172003
,15 years,15,Male,M,2016,2016,2143316
,15 years,15,Male,M,2017,2017,2096690
,15 years,15,Male,M,2018,2018,2111626
Total,15 years,15,Male,M,,,43017668
Total,15 years,15,,,,,83973690
,16 years,16,Female,F,1999,1999,1948049
,16 years,16,Female,F,2000,2000,1930536
,16 years,16,Female,F,2001,2001,1992853
,16 years,16,Female,F,2002,2002,2004322
,16 years,16,Female,F,2003,2003,2012581
,16 years,16,Female,F,2004,2004,2048548
,16 years,16,Female,F,2005,2005,2094194
,16 years,16,Female,F,2006,2006,2187586
,16 years,16,Female,F,2007,2007,2165619
,16 years,16,Female,F,2008,2008,2147828
,16 years,16,Female,F,2009,2009,2121530
,16 years,16,Female,F,2010,2010,2098160
,16 years,16,Female,F,2011,2011,2068277
,16 years,16,Female,F,2012,2012,2036679
,16 years,16,Female,F,2013,2013,2034600
,16 years,16,Female,F,2014,2014,2036165
,16 years,16,Female,F,2015,2015,2044168
,16 years,16,Female,F,2016,2016,2085676
,16 years,16,Female,F,2017,2017,2065150
,16 years,16,Female,F,2018,2018,2023998
Total,16 years,16,Female,F,,,41146519
,16 years,16,Male,M,1999,1999,2072256
,16 years,16,Male,M,2000,2000,2052755
,16 years,16,Male,M,2001,2001,2115451
,16 years,16,Male,M,2002,2002,2122639
,16 years,16,Male,M,2003,2003,2126560
,16 years,16,Male,M,2004,2004,2165214
,16 years,16,Male,M,2005,2005,2213951
,16 years,16,Male,M,2006,2006,2315411
,16 years,16,Male,M,2007,2007,2286631
,16 years,16,Male,M,2008,2008,2263348
,16 years,16,Male,M,2009,2009,2243808
,16 years,16,Male,M,2010,2010,2214899
,16 years,16,Male,M,2011,2011,2178520
,16 years,16,Male,M,2012,2012,2137004
,16 years,16,Male,M,2013,2013,2124859
,16 years,16,Male,M,2014,2014,2130073
,16 years,16,Male,M,2015,2015,2137939
,16 years,16,Male,M,2016,2016,2182224
,16 years,16,Male,M,2017,2017,2152936
,16 years,16,Male,M,2018,2018,2106746
Total,16 years,16,Male,M,,,43343224
Total,16 years,16,,,,,84489743
,17 years,17,Female,F,1999,1999,1947136
,17 years,17,Female,F,2000,2000,1955285
,17 years,17,Female,F,2001,2001,1947338
,17 years,17,Female,F,2002,2002,2007233
,17 years,17,Female,F,2003,2003,2015547
,17 years,17,Female,F,2004,2004,2021150
,17 years,17,Female,F,2005,2005,2055847
,17 years,17,Female,F,2006,2006,2100214
,17 years,17,Female,F,2007,2007,2191076
,17 years,17,Female,F,2008,2008,2167548
,17 years,17,Female,F,2009,2009,2147758
,17 years,17,Female,F,2010,2010,2123446
,17 years,17,Female,F,2011,2011,2108106
,17 years,17,Female,F,2012,2012,2077974
,17 years,17,Female,F,2013,2013,2046487
,17 years,17,Female,F,2014,2014,2045433
,17 years,17,Female,F,2015,2015,2047386
,17 years,17,Female,F,2016,2016,2055917
,17 years,17,Female,F,2017,2017,2096598
,17 years,17,Female,F,2018,2018,2076491
Total,17 years,17,Female,F,,,41233970
,17 years,17,Male,M,1999,1999,2084088
,17 years,17,Male,M,2000,2000,2093094
,17 years,17,Male,M,2001,2001,2081398
,17 years,17,Male,M,2002,2002,2141357
,17 years,17,Male,M,2003,2003,2144766
,17 years,17,Male,M,2004,2004,2146158
,17 years,17,Male,M,2005,2005,2183662
,17 years,17,Male,M,2006,2006,2231279
,17 years,17,Male,M,2007,2007,2329969
,17 years,17,Male,M,2008,2008,2299512
,17 years,17,Male,M,2009,2009,2273583
,17 years,17,Male,M,2010,2010,2252708
,17 years,17,Male,M,2011,2011,2226169
,17 years,17,Male,M,2012,2012,2189283
,17 years,17,Male,M,2013,2013,2148029
,17 years,17,Male,M,2014,2014,2136860
,17 years,17,Male,M,2015,2015,2142389
,17 years,17,Male,M,2016,2016,2150928
,17 years,17,Male,M,2017,2017,2194348
,17 years,17,Male,M,2018,2018,2165445
Total,17 years,17,Male,M,,,43615025
Total,17 years,17,,,,,84848995
,18 years,18,Female,F,1999,1999,1942583
,18 years,18,Female,F,2000,2000,1978529
,18 years,18,Female,F,2001,2001,1977996
,18 years,18,Female,F,2002,2002,1971434
,18 years,18,Female,F,2003,2003,2032257
,18 years,18,Female,F,2004,2004,2041748
,18 years,18,Female,F,2005,2005,2050714
,18 years,18,Female,F,2006,2006,2088493
,18 years,18,Female,F,2007,2007,2135140
,18 years,18,Female,F,2008,2008,2230353
,18 years,18,Female,F,2009,2009,2208513
,18 years,18,Female,F,2010,2010,2184966
,18 years,18,Female,F,2011,2011,2135511
,18 years,18,Female,F,2012,2012,2119750
,18 years,18,Female,F,2013,2013,2089724
,18 years,18,Female,F,2014,2014,2059475
,18 years,18,Female,F,2015,2015,2058833
,18 years,18,Female,F,2016,2016,2061317
,18 years,18,Female,F,2017,2017,2068893
,18 years,18,Female,F,2018,2018,2109928
Total,18 years,18,Female,F,,,41546157
,18 years,18,Male,M,1999,1999,2047260
,18 years,18,Male,M,2000,2000,2101077
,18 years,18,Male,M,2001,2001,2124855
,18 years,18,Male,M,2002,2002,2112882
,18 years,18,Male,M,2003,2003,2169578
,18 years,18,Male,M,2004,2004,2172313
,18 years,18,Male,M,2005,2005,2174412
,18 years,18,Male,M,2006,2006,2212557
,18 years,18,Male,M,2007,2007,2259498
,18 years,18,Male,M,2008,2008,2357770
,18 years,18,Male,M,2009,2009,2326121
,18 years,18,Male,M,2010,2010,2305396
,18 years,18,Male,M,2011,2011,2265850
,18 years,18,Male,M,2012,2012,2238704
,18 years,18,Male,M,2013,2013,2202467
,18 years,18,Male,M,2014,2014,2162271
,18 years,18,Male,M,2015,2015,2152179
,18 years,18,Male,M,2016,2016,2158419
,18 years,18,Male,M,2017,2017,2165658
,18 years,18,Male,M,2018,2018,2209794
Total,18 years,18,Male,M,,,43919061
Total,18 years,18,,,,,85465218
,19 years,19,Female,F,1999,1999,2010467
,19 years,19,Female,F,2000,2000,2014637
,19 years,19,Female,F,2001,2001,2003276
,19 years,19,Female,F,2002,2002,2002631
,19 years,19,Female,F,2003,2003,1993831
,19 years,19,Female,F,2004,2004,2054587
,19 years,19,Female,F,2005,2005,2065513
,19 years,19,Female,F,2006,2006,2074677
,19 years,19,Female,F,2007,2007,2111693
,19 years,19,Female,F,2008,2008,2158201
,19 years,19,Female,F,2009,2009,2252054
,19 years,19,Female,F,2010,2010,2236175
,19 years,19,Female,F,2011,2011,2198150
,19 years,19,Female,F,2012,2012,2147848
,19 years,19,Female,F,2013,2013,2132012
,19 years,19,Female,F,2014,2014,2103152
,19 years,19,Female,F,2015,2015,2073125
,19 years,19,Female,F,2016,2016,2072975
,19 years,19,Female,F,2017,2017,2074601
,19 years,19,Female,F,2018,2018,2082304
Total,19 years,19,Female,F,,,41861909
,19 years,19,Male,M,1999,1999,2093611
,19 years,19,Male,M,2000,2000,2104364
,19 years,19,Male,M,2001,2001,2129239
,19 years,19,Male,M,2002,2002,2149996
,19 years,19,Male,M,2003,2003,2129392
,19 years,19,Male,M,2004,2004,2187971
,19 years,19,Male,M,2005,2005,2190952
,19 years,19,Male,M,2006,2006,2190977
,19 years,19,Male,M,2007,2007,2223695
,19 years,19,Male,M,2008,2008,2267338
,19 years,19,Male,M,2009,2009,2359536
,19 years,19,Male,M,2010,2010,2334596
,19 years,19,Male,M,2011,2011,2320135
,19 years,19,Male,M,2012,2012,2279724
,19 years,19,Male,M,2013,2013,2252714
,19 years,19,Male,M,2014,2014,2218097
,19 years,19,Male,M,2015,2015,2179093
,19 years,19,Male,M,2016,2016,2168557
,19 years,19,Male,M,2017,2017,2173863
,19 years,19,Male,M,2018,2018,2181297
Total,19 years,19,Male,M,,,44135147
Total,19 years,19,,,,,85997056
,20 years,20,Female,F,1999,1999,1915294
,20 years,20,Female,F,2000,2000,2005616
,20 years,20,Female,F,2001,2001,2034401
,20 years,20,Female,F,2002,2002,2018607
,20 years,20,Female,F,2003,2003,2010652
,20 years,20,Female,F,2004,2004,1998909
,20 years,20,Female,F,2005,2005,2055521
,20 years,20,Female,F,2006,2006,2063126
,20 years,20,Female,F,2007,2007,2067209
,20 years,20,Female,F,2008,2008,2099954
,20 years,20,Female,F,2009,2009,2141586
,20 years,20,Female,F,2010,2010,2236386
,20 years,20,Female,F,2011,2011,2249560
,20 years,20,Female,F,2012,2012,2210764
,20 years,20,Female,F,2013,2013,2159731
,20 years,20,Female,F,2014,2014,2144723
,20 years,20,Female,F,2015,2015,2116359
,20 years,20,Female,F,2016,2016,2086780
,20 years,20,Female,F,2017,2017,2085601
,20 years,20,Female,F,2018,2018,2087209
Total,20 years,20,Female,F,,,41787988
,20 years,20,Male,M,1999,1999,2010201
,20 years,20,Male,M,2000,2000,2095670
,20 years,20,Male,M,2001,2001,2122324
,20 years,20,Male,M,2002,2002,2140289
,20 years,20,Male,M,2003,2003,2146225
,20 years,20,Male,M,2004,2004,2132862
,20 years,20,Male,M,2005,2005,2185676
,20 years,20,Male,M,2006,2006,2184969
,20 years,20,Male,M,2007,2007,2175195
,20 years,20,Male,M,2008,2008,2203034
,20 years,20,Male,M,2009,2009,2242042
,20 years,20,Male,M,2010,2010,2331596
,20 years,20,Male,M,2011,2011,2348694
,20 years,20,Male,M,2012,2012,2335801
,20 years,20,Male,M,2013,2013,2293201
,20 years,20,Male,M,2014,2014,2266737
,20 years,20,Male,M,2015,2015,2233576
,20 years,20,Male,M,2016,2016,2194194
,20 years,20,Male,M,2017,2017,2181385
,20 years,20,Male,M,2018,2018,2186613
Total,20 years,20,Male,M,,,44010284
Total,20 years,20,,,,,85798272
,21 years,21,Female,F,1999,1999,1838440
,21 years,21,Female,F,2000,2000,1900333
,21 years,21,Female,F,2001,2001,2025446
,21 years,21,Female,F,2002,2002,2051942
,21 years,21,Female,F,2003,2003,2031746
,21 years,21,Female,F,2004,2004,2024168
,21 years,21,Female,F,2005,2005,2011168
,21 years,21,Female,F,2006,2006,2067384
,21 years,21,Female,F,2007,2007,2072600
,21 years,21,Female,F,2008,2008,2075396
,21 years,21,Female,F,2009,2009,2106392
,21 years,21,Female,F,2010,2010,2146603
,21 years,21,Female,F,2011,2011,2249843
,21 years,21,Female,F,2012,2012,2263108
,21 years,21,Female,F,2013,2013,2223786
,21 years,21,Female,F,2014,2014,2173548
,21 years,21,Female,F,2015,2015,2158814
,21 years,21,Female,F,2016,2016,2130879
,21 years,21,Female,F,2017,2017,2099946
,21 years,21,Female,F,2018,2018,2098900
Total,21 years,21,Female,F,,,41750442
,21 years,21,Male,M,1999,1999,1924961
,21 years,21,Male,M,2000,2000,1993520
,21 years,21,Male,M,2001,2001,2107865
,21 years,21,Male,M,2002,2002,2130736
,21 years,21,Male,M,2003,2003,2135808
,21 years,21,Male,M,2004,2004,2156023
,21 years,21,Male,M,2005,2005,2139490
,21 years,21,Male,M,2006,2006,2191406
,21 years,21,Male,M,2007,2007,2184771
,21 years,21,Male,M,2008,2008,2176554
,21 years,21,Male,M,2009,2009,2201022
,21 years,21,Male,M,2010,2010,2240843
,21 years,21,Male,M,2011,2011,2344395
,21 years,21,Male,M,2012,2012,2366673
,21 years,21,Male,M,2013,2013,2349953
,21 years,21,Male,M,2014,2014,2307313
,21 years,21,Male,M,2015,2015,2282517
,21 years,21,Male,M,2016,2016,2248997
,21 years,21,Male,M,2017,2017,2206569
,21 years,21,Male,M,2018,2018,2193614
Total,21 years,21,Male,M,,,43883030
Total,21 years,21,,,,,85633472
,22 years,22,Female,F,1999,1999,1807150
,22 years,22,Female,F,2000,2000,1842418
,22 years,22,Female,F,2001,2001,1916731
,22 years,22,Female,F,2002,2002,2036887
,22 years,22,Female,F,2003,2003,2057360
,22 years,22,Female,F,2004,2004,2035635
,22 years,22,Female,F,2005,2005,2024927
,22 years,22,Female,F,2006,2006,2009498
,22 years,22,Female,F,2007,2007,2060669
,22 years,22,Female,F,2008,2008,2062511
,22 years,22,Female,F,2009,2009,2060876
,22 years,22,Female,F,2010,2010,2098462
,22 years,22,Female,F,2011,2011,2161010
,22 years,22,Female,F,2012,2012,2264338
,22 years,22,Female,F,2013,2013,2277788
,22 years,22,Female,F,2014,2014,2239380
,22 years,22,Female,F,2015,2015,2189647
,22 years,22,Female,F,2016,2016,2175312
,22 years,22,Female,F,2017,2017,2145921
,22 years,22,Female,F,2018,2018,2115157
Total,22 years,22,Female,F,,,41581677
,22 years,22,Male,M,1999,1999,1887040
,22 years,22,Male,M,2000,2000,1928772
,22 years,22,Male,M,2001,2001,2002585
,22 years,22,Male,M,2002,2002,2108849
,22 years,22,Male,M,2003,2003,2117934
,22 years,22,Male,M,2004,2004,2137442
,22 years,22,Male,M,2005,2005,2151169
,22 years,22,Male,M,2006,2006,2132034
,22 years,22,Male,M,2007,2007,2175374
,22 years,22,Male,M,2008,2008,2170281
,22 years,22,Male,M,2009,2009,2156791
,22 years,22,Male,M,2010,2010,2187907
,22 years,22,Male,M,2011,2011,2252173
,22 years,22,Male,M,2012,2012,2361225
,22 years,22,Male,M,2013,2013,2382388
,22 years,22,Male,M,2014,2014,2365346
,22 years,22,Male,M,2015,2015,2324623
,22 years,22,Male,M,2016,2016,2299500
,22 years,22,Male,M,2017,2017,2262883
,22 years,22,Male,M,2018,2018,2219586
Total,22 years,22,Male,M,,,43623902
Total,22 years,22,,,,,85205579
,23 years,23,Female,F,1999,1999,1744637
,23 years,23,Female,F,2000,2000,1822223
,23 years,23,Female,F,2001,2001,1860062
,23 years,23,Female,F,2002,2002,1931984
,23 years,23,Female,F,2003,2003,2048153
,23 years,23,Female,F,2004,2004,2069230
,23 years,23,Female,F,2005,2005,2046870
,23 years,23,Female,F,2006,2006,2036060
,23 years,23,Female,F,2007,2007,2018612
,23 years,23,Female,F,2008,2008,2068397
,23 years,23,Female,F,2009,2009,2068493
,23 years,23,Female,F,2010,2010,2065822
,23 years,23,Female,F,2011,2011,2113953
,23 years,23,Female,F,2012,2012,2176121
,23 years,23,Female,F,2013,2013,2279757
,23 years,23,Female,F,2014,2014,2294509
,23 years,23,Female,F,2015,2015,2256726
,23 years,23,Female,F,2016,2016,2207357
,23 years,23,Female,F,2017,2017,2191622
,23 years,23,Female,F,2018,2018,2162394
Total,23 years,23,Female,F,,,41462982
,23 years,23,Male,M,1999,1999,1817832
,23 years,23,Male,M,2000,2000,1900229
,23 years,23,Male,M,2001,2001,1938492
,23 years,23,Male,M,2002,2002,2004943
,23 years,23,Male,M,2003,2003,2099624
,23 years,23,Male,M,2004,2004,2123444
,23 years,23,Male,M,2005,2005,2136786
,23 years,23,Male,M,2006,2006,2150367
,23 years,23,Male,M,2007,2007,2125328
,23 years,23,Male,M,2008,2008,2169035
,23 years,23,Male,M,2009,2009,2161622
,23 years,23,Male,M,2010,2010,2150744
,23 years,23,Male,M,2011,2011,2198326
,23 years,23,Male,M,2012,2012,2267594
,23 years,23,Male,M,2013,2013,2375806
,23 years,23,Male,M,2014,2014,2398453
,23 years,23,Male,M,2015,2015,2382897
,23 years,23,Male,M,2016,2016,2342064
,23 years,23,Male,M,2017,2017,2313281
,23 years,23,Male,M,2018,2018,2276330
Total,23 years,23,Male,M,,,43333197
Total,23 years,23,,,,,84796179
,24 years,24,Female,F,1999,1999,1793094
,24 years,24,Female,F,2000,2000,1779224
,24 years,24,Female,F,2001,2001,1840310
,24 years,24,Female,F,2002,2002,1876825
,24 years,24,Female,F,2003,2003,1945812
,24 years,24,Female,F,2004,2004,2062699
,24 years,24,Female,F,2005,2005,2084320
,24 years,24,Female,F,2006,2006,2062716
,24 years,24,Female,F,2007,2007,2051073
,24 years,24,Female,F,2008,2008,2033308
,24 years,24,Female,F,2009,2009,2082066
,24 years,24,Female,F,2010,2010,2082025
,24 years,24,Female,F,2011,2011,2081719
,24 years,24,Female,F,2012,2012,2129725
,24 years,24,Female,F,2013,2013,2191646
,24 years,24,Female,F,2014,2014,2296998
,24 years,24,Female,F,2015,2015,2312341
,24 years,24,Female,F,2016,2016,2274932
,24 years,24,Female,F,2017,2017,2223950
,24 years,24,Female,F,2018,2018,2208372
Total,24 years,24,Female,F,,,41413155
,24 years,24,Male,M,1999,1999,1852780
,24 years,24,Male,M,2000,2000,1848662
,24 years,24,Male,M,2001,2001,1909070
,24 years,24,Male,M,2002,2002,1942703
,24 years,24,Male,M,2003,2003,1998374
,24 years,24,Male,M,2004,2004,2105148
,24 years,24,Male,M,2005,2005,2124028
,24 years,24,Male,M,2006,2006,2138575
,24 years,24,Male,M,2007,2007,2147168
,24 years,24,Male,M,2008,2008,2122142
,24 years,24,Male,M,2009,2009,2163232
,24 years,24,Male,M,2010,2010,2161093
,24 years,24,Male,M,2011,2011,2160503
,24 years,24,Male,M,2012,2012,2212337
,24 years,24,Male,M,2013,2013,2280649
,24 years,24,Male,M,2014,2014,2390079
,24 years,24,Male,M,2015,2015,2414932
,24 years,24,Male,M,2016,2016,2398533
,24 years,24,Male,M,2017,2017,2354506
,24 years,24,Male,M,2018,2018,2325404
Total,24 years,24,Male,M,,,43049918
Total,24 years,24,,,,,84463073
,25 years,25,Female,F,1999,1999,1800091
,25 years,25,Female,F,2000,2000,1841961
,25 years,25,Female,F,2001,2001,1800155
,25 years,25,Female,F,2002,2002,1862425
,25 years,25,Female,F,2003,2003,1898603
,25 years,25,Female,F,2004,2004,1970554
,25 years,25,Female,F,2005,2005,2090577
,25 years,25,Female,F,2006,2006,2115632
,25 years,25,Female,F,2007,2007,2094993
,25 years,25,Female,F,2008,2008,2084941
,25 years,25,Female,F,2009,2009,2068547
,25 years,25,Female,F,2010,2010,2112016
,25 years,25,Female,F,2011,2011,2098278
,25 years,25,Female,F,2012,2012,2097589
,25 years,25,Female,F,2013,2013,2145235
,25 years,25,Female,F,2014,2014,2208475
,25 years,25,Female,F,2015,2015,2315028
,25 years,25,Female,F,2016,2016,2330611
,25 years,25,Female,F,2017,2017,2291364
,25 years,25,Female,F,2018,2018,2240559
Total,25 years,25,Female,F,,,41467634
,25 years,25,Male,M,1999,1999,1857316
,25 years,25,Male,M,2000,2000,1905777
,25 years,25,Male,M,2001,2001,1859564
,25 years,25,Male,M,2002,2002,1916744
,25 years,25,Male,M,2003,2003,1943865
,25 years,25,Male,M,2004,2004,2010965
,25 years,25,Male,M,2005,2005,2115519
,25 years,25,Male,M,2006,2006,2139011
,25 years,25,Male,M,2007,2007,2150579
,25 years,25,Male,M,2008,2008,2161269
,25 years,25,Male,M,2009,2009,2136055
,25 years,25,Male,M,2010,2010,2176904
,25 years,25,Male,M,2011,2011,2169696
,25 years,25,Male,M,2012,2012,2173964
,25 years,25,Male,M,2013,2013,2224097
,25 years,25,Male,M,2014,2014,2293548
,25 years,25,Male,M,2015,2015,2405454
,25 years,25,Male,M,2016,2016,2430029
,25 years,25,Male,M,2017,2017,2410032
,25 years,25,Male,M,2018,2018,2365722
Total,25 years,25,Male,M,,,42846110
Total,25 years,25,,,,,84313744
,26 years,26,Female,F,1999,1999,1814511
,26 years,26,Female,F,2000,2000,1797109
,26 years,26,Female,F,2001,2001,1858168
,26 years,26,Female,F,2002,2002,1813125
,26 years,26,Female,F,2003,2003,1870192
,26 years,26,Female,F,2004,2004,1904276
,26 years,26,Female,F,2005,2005,1973649
,26 years,26,Female,F,2006,2006,2090828
,26 years,26,Female,F,2007,2007,2111654
,26 years,26,Female,F,2008,2008,2087875
,26 years,26,Female,F,2009,2009,2074481
,26 years,26,Female,F,2010,2010,2058264
,26 years,26,Female,F,2011,2011,2127260
,26 years,26,Female,F,2012,2012,2113232
,26 years,26,Female,F,2013,2013,2112664
,26 years,26,Female,F,2014,2014,2161337
,26 years,26,Female,F,2015,2015,2226297
,26 years,26,Female,F,2016,2016,2332732
,26 years,26,Female,F,2017,2017,2346583
,26 years,26,Female,F,2018,2018,2307677
Total,26 years,26,Female,F,,,41181914
,26 years,26,Male,M,1999,1999,1851717
,26 years,26,Male,M,2000,2000,1846928
,26 years,26,Male,M,2001,2001,1909984
,26 years,26,Male,M,2002,2002,1856790
,26 years,26,Male,M,2003,2003,1901518
,26 years,26,Male,M,2004,2004,1933949
,26 years,26,Male,M,2005,2005,1993073
,26 years,26,Male,M,2006,2006,2095497
,26 years,26,Male,M,2007,2007,2111196
,26 years,26,Male,M,2008,2008,2118708
,26 years,26,Male,M,2009,2009,2123441
,26 years,26,Male,M,2010,2010,2102105
,26 years,26,Male,M,2011,2011,2184501
,26 years,26,Male,M,2012,2012,2182419
,26 years,26,Male,M,2013,2013,2185046
,26 years,26,Male,M,2014,2014,2236677
,26 years,26,Male,M,2015,2015,2308343
,26 years,26,Male,M,2016,2016,2419331
,26 years,26,Male,M,2017,2017,2441090
,26 years,26,Male,M,2018,2018,2421037
Total,26 years,26,Male,M,,,42223350
Total,26 years,26,,,,,83405264
,27 years,27,Female,F,1999,1999,1949822
,27 years,27,Female,F,2000,2000,1854768
,27 years,27,Female,F,2001,2001,1814890
,27 years,27,Female,F,2002,2002,1876960
,27 years,27,Female,F,2003,2003,1831742
,27 years,27,Female,F,2004,2004,1890889
,27 years,27,Female,F,2005,2005,1927615
,27 years,27,Female,F,2006,2006,1999674
,27 years,27,Female,F,2007,2007,2118406
,27 years,27,Female,F,2008,2008,2141001
,27 years,27,Female,F,2009,2009,2118250
,27 years,27,Female,F,2010,2010,2101721
,27 years,27,Female,F,2011,2011,2072352
,27 years,27,Female,F,2012,2012,2141549
,27 years,27,Female,F,2013,2013,2127403
,27 years,27,Female,F,2014,2014,2128389
,27 years,27,Female,F,2015,2015,2178689
,27 years,27,Female,F,2016,2016,2243386
,27 years,27,Female,F,2017,2017,2348170
,27 years,27,Female,F,2018,2018,2362325
Total,27 years,27,Female,F,,,41228001
,27 years,27,Male,M,1999,1999,1985242
,27 years,27,Male,M,2000,2000,1892865
,27 years,27,Male,M,2001,2001,1853810
,27 years,27,Male,M,2002,2002,1914753
,27 years,27,Male,M,2003,2003,1856904
,27 years,27,Male,M,2004,2004,1910787
,27 years,27,Male,M,2005,2005,1942425
,27 years,27,Male,M,2006,2006,2004824
,27 years,27,Male,M,2007,2007,2105989
,27 years,27,Male,M,2008,2008,2124164
,27 years,27,Male,M,2009,2009,2131764
,27 years,27,Male,M,2010,2010,2134977
,27 years,27,Male,M,2011,2011,2109180
,27 years,27,Male,M,2012,2012,2195886
,27 years,27,Male,M,2013,2013,2193168
,27 years,27,Male,M,2014,2014,2197381
,27 years,27,Male,M,2015,2015,2251108
,27 years,27,Male,M,2016,2016,2321904
,27 years,27,Male,M,2017,2017,2429709
,27 years,27,Male,M,2018,2018,2451655
Total,27 years,27,Male,M,,,42008495
Total,27 years,27,,,,,83236496
,28 years,28,Female,F,1999,1999,2060374
,28 years,28,Female,F,2000,2000,1955402
,28 years,28,Female,F,2001,2001,1867542
,28 years,28,Female,F,2002,2002,1824836
,28 years,28,Female,F,2003,2003,1882450
,28 years,28,Female,F,2004,2004,1835016
,28 years,28,Female,F,2005,2005,1891577
,28 years,28,Female,F,2006,2006,1925997
,28 years,28,Female,F,2007,2007,1992509
,28 years,28,Female,F,2008,2008,2106335
,28 years,28,Female,F,2009,2009,2124289
,28 years,28,Female,F,2010,2010,2112400
,28 years,28,Female,F,2011,2011,2114795
,28 years,28,Female,F,2012,2012,2085432
,28 years,28,Female,F,2013,2013,2154369
,28 years,28,Female,F,2014,2014,2141760
,28 years,28,Female,F,2015,2015,2144315
,28 years,28,Female,F,2016,2016,2194360
,28 years,28,Female,F,2017,2017,2257206
,28 years,28,Female,F,2018,2018,2362288
Total,28 years,28,Female,F,,,41033252
,28 years,28,Male,M,1999,1999,2086110
,28 years,28,Male,M,2000,2000,1991941
,28 years,28,Male,M,2001,2001,1898587
,28 years,28,Male,M,2002,2002,1857165
,28 years,28,Male,M,2003,2003,1912388
,28 years,28,Male,M,2004,2004,1862479
,28 years,28,Male,M,2005,2005,1913949
,28 years,28,Male,M,2006,2006,1948157
,28 years,28,Male,M,2007,2007,2007290
,28 years,28,Male,M,2008,2008,2109285
,28 years,28,Male,M,2009,2009,2126324
,28 years,28,Male,M,2010,2010,2134787
,28 years,28,Male,M,2011,2011,2141409
,28 years,28,Male,M,2012,2012,2119495
,28 years,28,Male,M,2013,2013,2205163
,28 years,28,Male,M,2014,2014,2204570
,28 years,28,Male,M,2015,2015,2211453
,28 years,28,Male,M,2016,2016,2263961
,28 years,28,Male,M,2017,2017,2331697
,28 years,28,Male,M,2018,2018,2439423
Total,28 years,28,Male,M,,,41765633
Total,28 years,28,,,,,82798885
,29 years,29,Female,F,1999,1999,2071169
,29 years,29,Female,F,2000,2000,2083133
,29 years,29,Female,F,2001,2001,1962358
,29 years,29,Female,F,2002,2002,1871240
,29 years,29,Female,F,2003,2003,1824117
,29 years,29,Female,F,2004,2004,1878345
,29 years,29,Female,F,2005,2005,1829126
,29 years,29,Female,F,2006,2006,1882291
,29 years,29,Female,F,2007,2007,1911697
,29 years,29,Female,F,2008,2008,1973380
,29 years,29,Female,F,2009,2009,2081304
,29 years,29,Female,F,2010,2010,2097854
,29 years,29,Female,F,2011,2011,2123915
,29 years,29,Female,F,2012,2012,2126405
,29 years,29,Female,F,2013,2013,2097239
,29 years,29,Female,F,2014,2014,2167578
,29 years,29,Female,F,2015,2015,2156246
,29 years,29,Female,F,2016,2016,2158641
,29 years,29,Female,F,2017,2017,2206951
